sepal_length,sepal_width,petal_length,petal_width,species,new_column
5.1,3.5,1.4,0.2,Iris-setosa,1.9599999999999997
4.9,3.0,1.4,0.2,Iris-setosa,1.9599999999999997
4.7,3.2,1.3,0.2,Iris-setosa,1.6900000000000002
4.6,3.1,1.5,0.2,Iris-setosa,2.25
5.0,3.6,1.4,0.2,Iris-setosa,1.9599999999999997
5.4,3.9,1.7,0.4,Iris-setosa,2.8899999999999997
4.6,3.4,1.4,0.3,Iris-setosa,1.9599999999999997
5.0,3.4,1.5,0.2,Iris-setosa,2.25
4.4,2.9,1.4,0.2,Iris-setosa,1.9599999999999997
4.9,3.1,1.5,0.1,Iris-setosa,2.25
5.4,3.7,1.5,0.2,Iris-setosa,2.25
4.8,3.4,1.6,0.2,Iris-setosa,2.5600000000000005
4.8,3.0,1.4,0.1,Iris-setosa,1.9599999999999997
4.3,3.0,1.1,0.1,Iris-setosa,1.2100000000000002
5.8,4.0,1.2,0.2,Iris-setosa,1.44
5.7,4.4,1.5,0.4,Iris-setosa,2.25
5.4,3.9,1.3,0.4,Iris-setosa,1.6900000000000002
5.1,3.5,1.4,0.3,Iris-setosa,1.9599999999999997
5.7,3.8,1.7,0.3,Iris-setosa,2.8899999999999997
5.1,3.8,1.5,0.3,Iris-setosa,2.25
5.4,3.4,1.7,0.2,Iris-setosa,2.8899999999999997
5.1,3.7,1.5,0.4,Iris-setosa,2.25
4.6,3.6,1.0,0.2,Iris-setosa,1.0
5.1,3.3,1.7,0.5,Iris-setosa,2.8899999999999997
4.8,3.4,1.9,0.2,Iris-setosa,3.61
5.0,3.0,1.6,0.2,Iris-setosa,2.5600000000000005
5.0,3.4,1.6,0.4,Iris-setosa,2.5600000000000005
5.2,3.5,1.5,0.2,Iris-setosa,2.25
5.2,3.4,1.4,0.2,Iris-setosa,1.9599999999999997
4.7,3.2,1.6,0.2,Iris-setosa,2.5600000000000005
4.8,3.1,1.6,0.2,Iris-setosa,2.5600000000000005
5.4,3.4,1.5,0.4,Iris-setosa,2.25
5.2,4.1,1.5,0.1,Iris-setosa,2.25
5.5,4.2,1.4,0.2,Iris-setosa,1.9599999999999997
4.9,3.1,1.5,0.1,Iris-setosa,2.25
5.0,3.2,1.2,0.2,Iris-setosa,1.44
5.5,3.5,1.3,0.2,Iris-setosa,1.6900000000000002
4.9,3.1,1.5,0.1,Iris-setosa,2.25
4.4,3.0,1.3,0.2,Iris-setosa,1.6900000000000002
5.1,3.4,1.5,0.2,Iris-setosa,2.25
5.0,3.5,1.3,0.3,Iris-setosa,1.6900000000000002
4.5,2.3,1.3,0.3,Iris-setosa,1.6900000000000002
4.4,3.2,1.3,0.2,Iris-setosa,1.6900000000000002
5.0,3.5,1.6,0.6,Iris-setosa,2.5600000000000005
5.1,3.8,1.9,0.4,Iris-setosa,3.61
4.8,3.0,1.4,0.3,Iris-setosa,1.9599999999999997
5.1,3.8,1.6,0.2,Iris-setosa,2.5600000000000005
4.6,3.2,1.4,0.2,Iris-setosa,1.9599999999999997
5.3,3.7,1.5,0.2,Iris-setosa,2.25
5.0,3.3,1.4,0.2,Iris-setosa,1.9599999999999997
7.0,3.2,4.7,1.4,Iris-versicolor,22.090000000000003
6.4,3.2,4.5,1.5,Iris-versicolor,20.25
6.9,3.1,4.9,1.5,Iris-versicolor,24.010000000000005
5.5,2.3,4.0,1.3,Iris-versicolor,16.0
6.5,2.8,4.6,1.5,Iris-versicolor,21.159999999999997
5.7,2.8,4.5,1.3,Iris-versicolor,20.25
6.3,3.3,4.7,1.6,Iris-versicolor,22.090000000000003
4.9,2.4,3.3,1.0,Iris-versicolor,10.889999999999999
6.6,2.9,4.6,1.3,Iris-versicolor,21.159999999999997
5.2,2.7,3.9,1.4,Iris-versicolor,15.209999999999999
5.0,2.0,3.5,1.0,Iris-versicolor,12.25
5.9,3.0,4.2,1.5,Iris-versicolor,17.64
6.0,2.2,4.0,1.0,Iris-versicolor,16.0
6.1,2.9,4.7,1.4,Iris-versicolor,22.090000000000003
5.6,2.9,3.6,1.3,Iris-versicolor,12.96
6.7,3.1,4.4,1.4,Iris-versicolor,19.360000000000003
5.6,3.0,4.5,1.5,Iris-versicolor,20.25
5.8,2.7,4.1,1.0,Iris-versicolor,16.81
6.2,2.2,4.5,1.5,Iris-versicolor,20.25
5.6,2.5,3.9,1.1,Iris-versicolor,15.209999999999999
5.9,3.2,4.8,1.8,Iris-versicolor,23.04
6.1,2.8,4.0,1.3,Iris-versicolor,16.0
6.3,2.5,4.9,1.5,Iris-versicolor,24.010000000000005
6.1,2.8,4.7,1.2,Iris-versicolor,22.090000000000003
